Integer Column,Float Column,String Column,Bool Column,Datetime Column,Timedelta Column,Option Column,Complex Column
38,43.744252637777606,string40,True,2024-03-16 05:36:23.468123,7d 20h 8m 18s,option2,156.0+25.0i
26,61.83824228122175,string40,True,2024-02-23 05:36:23.468130,6d 22h 21m 46s,option2,70.0+68.0i
78,7.9341768243198185,string62,False,2023-12-21 05:36:23.468138,7d 2h 34m 16s,option3,158.0+31.0i
73,82.41826709721335,string98,False,2023-12-20 05:36:23.468146,8d 13h 33m 58s,option1,96.0+35.0i
10,65.68869495025005,string45,True,2023-12-19 05:36:23.468153,9d 10h 58m 23s,option2,27.0+68.0i
21,72.90790397736569,string55,True,2024-01-08 05:36:23.468161,5d 13h 55m 21s,option1,24.0+73.0i
81,54.15537710715665,string95,False,2024-02-24 05:36:23.468169,6d 18h 27m 26s,option2,153.0+7.0i
70,11.937233988182728,string63,True,2023-12-28 05:36:23.468176,7d 7h 13m 20s,option3,75.0+44.0i
80,41.09852571639804,string77,False,2023-12-13 05:36:23.468184,3d 10h 35m 5s,option1,111.0+53.0i
48,41.13198470200705,string17,True,2024-01-13 05:36:23.468192,5d 22h 33m 18s,option3,46.0+80.0i
65,32.78325601427848,string81,False,2024-01-10 05:36:23.468200,0d 12h 30m 45s,option2,147.0+4.0i
83,3.9650821655701867,string7,True,2023-12-11 05:36:23.468207,2d 21h 18m 16s,option1,64.0+59.0i
89,73.98817001705126,string69,True,2024-02-15 05:36:23.468215,3d 12h 8m 26s,option2,192.0+40.0i
50,11.868661348187569,string46,True,2024-01-07 05:36:23.468224,3d 9h 31m 44s,option2,134.0+48.0i
30,61.024505171463424,string85,False,2024-01-25 05:36:23.468232,1d 11h 47m 0s,option2,151.0+52.0i
20,70.61853215025437,string31,True,2024-01-13 05:36:23.468240,6d 20h 28m 38s,option3,50.0+74.0i
20,63.84384597043578,string77,False,2024-03-09 05:36:23.468247,4d 1h 35m 41s,option1,141.0+33.0i
15,95.95508294581953,string54,True,2024-02-22 05:36:23.468255,6d 14h 18m 24s,option2,80.0+33.0i
40,11.226517353428724,string34,True,2024-01-07 05:36:23.468263,8d 14h 28m 50s,option2,36.0+61.0i
33,86.84954875141472,string91,True,2024-01-02 05:36:23.468271,9d 19h 2m 42s,option3,63.0+93.0i
66,3.889833250042412,string19,True,2024-01-09 05:36:23.468279,1d 1h 21m 54s,option1,128.0+91.0i
10,53.95676863778131,string7,False,2024-01-15 05:36:23.468286,1d 23h 25m 14s,option2,83.0+45.0i
58,41.02011817598662,string3,True,2024-01-06 05:36:23.468294,9d 22h 15m 50s,option2,180.0+57.0i
33,52.89420217898206,string27,True,2024-02-21 05:36:23.468302,2d 11h 54m 24s,option1,9.0+50.0i
32,37.144887828940966,string26,True,2024-01-26 05:36:23.468310,5d 11h 6m 41s,option1,49.0+56.0i
75,19.86612457906674,string14,False,2024-02-04 05:36:23.468318,5d 18h 9m 8s,option3,151.0+63.0i
24,2.893166847420288,string64,False,2024-03-12 05:36:23.468326,5d 8h 8m 0s,option2,58.0+86.0i
36,52.29683156532626,string92,True,2024-02-09 05:36:23.468333,0d 12h 52m 20s,option3,35.0+56.0i
76,84.43490940579939,string63,False,2024-03-13 05:36:23.468341,9d 21h 50m 15s,option3,42.0+65.0i
56,37.94837961873462,string58,True,2024-01-15 05:36:23.468348,7d 22h 44m 17s,option1,44.0+12.0i
29,23.06351798348304,string38,True,2024-02-04 05:36:23.468401,7d 9h 45m 34s,option3,137.0+24.0i
35,8.972668343712563,string46,True,2024-03-05 05:36:23.468408,0d 9h 6m 55s,option2,57.0+86.0i
1,9.445781388751634,string22,True,2024-03-01 05:36:23.468417,3d 19h 38m 1s,option2,57.0+56.0i
1,22.91824818298445,string70,False,2024-01-20 05:36:23.468424,1d 5h 33m 33s,option2,111.0+94.0i
37,10.901392031233962,string50,True,2024-01-08 05:36:23.468432,3d 22h 37m 58s,option1,126.0+9.0i
54,27.238930138083724,string26,False,2024-03-04 05:36:23.468439,2d 1h 3m 13s,option1,22.0+77.0i
6,7.548796749578517,string13,False,2024-03-06 05:36:23.468447,2d 15h 43m 33s,option2,172.0+10.0i
39,7.494881853782639,string53,False,2023-12-22 05:36:23.468454,9d 9h 11m 25s,option2,34.0+46.0i
18,85.77134178265541,string71,True,2024-02-07 05:36:23.468463,0d 9h 32m 21s,option1,52.0+89.0i
80,17.04990581017449,string48,False,2024-03-17 05:36:23.468471,4d 11h 35m 56s,option2,72.0+86.0i
5,56.408558176521346,string74,False,2024-02-22 05:36:23.468478,9d 12h 2m 32s,option2,30.0+88.0i
43,77.57209890045402,string11,True,2024-02-19 05:36:23.468485,4d 10h 35m 29s,option3,67.0+43.0i
59,46.184546968567595,string73,False,2024-02-16 05:36:23.468493,9d 23h 37m 29s,option1,38.0+71.0i
32,16.18351890807523,string91,True,2023-12-20 05:36:23.468501,1d 3h 42m 16s,option1,149.0+50.0i
2,20.76001806989132,string17,True,2023-12-16 05:36:23.468509,4d 1h 3m 31s,option2,39.0+86.0i
66,43.86543642183689,string96,False,2024-02-22 05:36:23.468516,4d 8h 24m 25s,option3,170.0+82.0i
42,53.29517482867504,string95,True,2023-12-14 05:36:23.468525,9d 5h 10m 32s,option1,125.0+33.0i
58,35.59458891280495,string39,False,2024-01-25 05:36:23.468532,3d 21h 40m 13s,option1,48.0+83.0i
36,78.36648042323148,string49,False,2024-02-14 05:36:23.468540,0d 10h 5m 21s,option1,28.0+76.0i
12,75.35114323678344,string61,False,2024-01-15 05:36:23.468547,8d 13h 27m 34s,option3,73.0+63.0i
47,92.79396892993867,string7,False,2024-01-16 05:36:23.468555,0d 23h 57m 44s,option3,88.0+41.0i
83,3.8663023536690933,string71,False,2023-12-22 05:36:23.468562,7d 16h 47m 51s,option3,149.0+92.0i
92,89.67343782981014,string2,False,2024-01-30 05:36:23.468570,1d 0h 56m 32s,option1,135.0+42.0i
1,39.86431005775295,string64,True,2024-03-09 05:36:23.468577,6d 18h 33m 51s,option1,93.0+76.0i
15,87.9588770426194,string66,True,2024-03-14 05:36:23.468584,4d 5h 17m 54s,option3,7.0+81.0i
54,69.38769283949642,string22,True,2024-01-25 05:36:23.468592,9d 17h 31m 3s,option3,160.0+46.0i
13,98.74752695032285,string47,True,2023-12-30 05:36:23.468599,8d 2h 42m 30s,option3,165.0+26.0i
43,76.16896271995014,string1,False,2024-01-17 05:36:23.468607,6d 0h 4m 4s,option2,30.0+47.0i
85,37.08991797368187,string87,True,2024-01-18 05:36:23.468614,0d 19h 35m 22s,option3,70.0+58.0i
76,50.60525411064046,string37,False,2023-12-27 05:36:23.468621,7d 22h 23m 49s,option1,192.0+73.0i
69,38.26252636424077,string27,False,2024-01-18 05:36:23.468629,6d 11h 2m 21s,option3,69.0+34.0i
7,37.126271766102576,string21,False,2023-12-25 05:36:23.468636,0d 2h 27m 12s,option3,166.0+2.0i
69,26.829545438724914,string85,True,2023-12-20 05:36:23.468643,5d 9h 35m 0s,option2,152.0+50.0i
48,50.10105924197349,string35,False,2023-12-20 05:36:23.468651,5d 18h 35m 10s,option1,13.0+2.0i
4,68.49225456186676,string62,False,2024-01-12 05:36:23.468658,3d 12h 27m 9s,option3,72.0+93.0i
77,28.456686859219108,string31,True,2024-01-01 05:36:23.468666,0d 6h 58m 12s,option2,137.0+47.0i
53,52.91360129664478,string28,True,2023-12-24 05:36:23.468673,6d 17h 38m 5s,option3,165.0+49.0i
79,12.62064912288516,string74,True,2024-03-10 05:36:23.468681,6d 12h 2m 59s,option2,185.0+42.0i
16,16.82468339856494,string73,True,2023-12-22 05:36:23.468687,0d 17h 24m 42s,option2,89.0+65.0i
21,5.633829116506686,string53,False,2024-02-02 05:36:23.468695,0d 4h 8m 18s,option2,46.0+46.0i
59,97.10241283429265,string85,False,2023-12-29 05:36:23.468702,7d 8h 16m 22s,option2,16.0+40.0i
24,1.3821747995158484,string24,True,2024-02-14 05:36:23.468710,4d 16h 21m 23s,option1,3.0+43.0i
80,18.679416837707976,string63,True,2024-02-13 05:36:23.468718,1d 2h 48m 26s,option2,12.0+69.0i
14,61.673808558582245,string49,False,2023-12-31 05:36:23.468726,8d 15h 47m 25s,option1,96.0+71.0i
86,9.055590286477225,string60,True,2024-03-16 05:36:23.468733,5d 22h 54m 51s,option1,189.0+67.0i
49,88.3077538065864,string44,True,2024-03-14 05:36:23.468740,2d 12h 44m 58s,option3,58.0+75.0i
50,72.24239562638653,string43,False,2024-02-07 05:36:23.468747,4d 14h 33m 11s,option1,171.0+46.0i
70,96.67260717235145,string14,False,2024-01-15 05:36:23.468755,8d 11h 6m 31s,option3,111.0+77.0i
42,51.255919176835725,string10,True,2024-01-15 05:36:23.468762,2d 9h 21m 10s,option1,18.0+48.0i
36,30.73996463269023,string28,True,2024-02-19 05:36:23.468769,1d 6h 57m 6s,option1,182.0+8.0i
65,55.40055670673187,string91,False,2024-01-19 05:36:23.468776,0d 13h 46m 19s,option1,76.0+27.0i
96,93.15105301249935,string35,True,2023-12-10 05:36:23.468783,9d 7h 57m 16s,option1,23.0+92.0i
70,52.555382286944194,string71,False,2024-01-30 05:36:23.468791,6d 8h 15m 2s,option3,125.0+77.0i
95,27.453496154369546,string42,False,2024-02-21 05:36:23.468798,9d 10h 40m 29s,option1,64.0+82.0i
1,87.86248012823785,string38,True,2023-12-28 05:36:23.468805,1d 3h 36m 36s,option3,55.0+8.0i
51,37.81995610273367,string7,False,2024-01-04 05:36:23.468813,1d 17h 21m 27s,option1,183.0+72.0i
37,1.1369516499009147,string59,False,2024-02-21 05:36:23.468821,9d 15h 54m 8s,option2,137.0+85.0i
35,25.52081722673928,string86,True,2024-01-13 05:36:23.468828,1d 15h 9m 11s,option3,50.0+12.0i
49,32.50511740852917,string4,False,2024-03-02 05:36:23.468839,0d 15h 28m 16s,option2,125.0+51.0i
94,86.01896935495832,string76,True,2023-12-28 05:36:23.468847,0d 2h 8m 33s,option3,155.0+14.0i
4,46.39181353957805,string12,True,2024-03-10 05:36:23.468856,0d 14h 40m 1s,option1,113.0+45.0i
99,45.014141493318775,string30,False,2024-02-23 05:36:23.468863,6d 13h 0m 12s,option3,141.0+76.0i
43,34.27412437358885,string79,True,2024-02-06 05:36:23.468871,8d 0h 28m 31s,option1,20.0+35.0i
78,88.18713418166088,string84,False,2024-02-08 05:36:23.468879,8d 19h 51m 32s,option3,19.0+61.0i
22,94.55765091709874,string27,True,2024-02-09 05:36:23.468887,7d 4h 50m 17s,option1,194.0+32.0i
74,99.1971425863083,string81,False,2024-01-09 05:36:23.468894,6d 18h 51m 20s,option3,70.0+52.0i
1,38.29738542913769,string36,False,2023-12-10 05:36:23.468901,9d 9h 7m 34s,option2,137.0+33.0i
11,96.64859711708996,string53,True,2023-12-22 05:36:23.468908,0d 17h 38m 12s,option3,123.0+7.0i
44,79.39607739345924,string18,True,2024-01-17 05:36:23.468916,8d 14h 46m 7s,option3,162.0+1.0i
59,67.89322561678242,string81,True,2024-01-28 05:36:23.468923,9d 7h 45m 33s,option3,123.0+4.0i
24,25.24405846258984,string11,True,2024-02-16 05:36:23.468931,3d 2h 39m 2s,option1,64.0+42.0i
60,22.429268833476772,string61,False,2023-12-11 05:36:23.468939,8d 7h 22m 35s,option2,182.0+48.0i
3,17.43873462760332,string74,False,2023-12-17 05:36:23.468946,5d 0h 26m 4s,option1,59.0+70.0i
99,92.35290441231118,string26,True,2024-01-06 05:36:23.468953,5d 11h 47m 9s,option2,45.0+99.0i
63,30.113589575933442,string27,False,2023-12-31 05:36:23.468960,6d 5h 1m 22s,option3,130.0+12.0i
36,45.856330299438966,string52,False,2023-12-19 05:36:23.468968,5d 16h 26m 44s,option1,142.0+13.0i
95,49.90182556473513,string80,False,2024-02-09 05:36:23.468976,8d 8h 19m 29s,option1,77.0+18.0i
68,78.03898794957516,string28,True,2024-02-15 05:36:23.468983,7d 11h 46m 21s,option3,188.0+42.0i
83,84.57926119374939,string5,False,2024-01-28 05:36:23.468991,2d 21h 48m 43s,option1,53.0+90.0i
47,14.768197413712668,string86,False,2024-01-30 05:36:23.469000,4d 22h 18m 38s,option2,36.0+27.0i
21,43.2635316608963,string54,False,2024-01-24 05:36:23.469007,1d 4h 39m 19s,option1,56.0+63.0i
82,84.44263389571026,string24,True,2024-03-09 05:36:23.469013,7d 16h 53m 29s,option3,182.0+73.0i
51,81.98529726982801,string23,True,2024-02-28 05:36:23.469021,2d 12h 5m 44s,option3,171.0+72.0i
28,11.138962086789224,string93,True,2023-12-24 05:36:23.469029,0d 6h 15m 0s,option1,14.0+9.0i
15,16.48195153792834,string44,True,2024-02-21 05:36:23.469037,1d 19h 4m 45s,option2,27.0+84.0i
42,31.115670468341374,string7,False,2024-02-07 05:36:23.469045,6d 0h 55m 31s,option3,176.0+58.0i
59,8.460547839250694,string14,True,2023-12-15 05:36:23.469052,4d 3h 35m 19s,option2,159.0+76.0i
66,43.0416372812187,string78,False,2024-03-15 05:36:23.469061,2d 17h 44m 3s,option1,183.0+57.0i
37,11.65415280980861,string18,False,2024-01-27 05:36:23.469068,8d 1h 15m 41s,option3,50.0+20.0i
11,57.25354177331466,string41,True,2023-12-27 05:36:23.469076,8d 20h 22m 10s,option1,151.0+20.0i
87,25.409137041304454,string95,False,2023-12-11 05:36:23.469083,3d 22h 12m 25s,option2,117.0+48.0i
44,60.04687346961265,string69,True,2024-03-14 05:36:23.469091,5d 8h 41m 0s,option2,179.0+99.0i
12,12.635038647460128,string19,True,2024-02-20 05:36:23.469098,7d 6h 52m 27s,option2,74.0+44.0i
3,97.6125029734348,string3,True,2024-01-24 05:36:23.469106,8d 4h 21m 21s,option3,19.0+53.0i
52,93.3235591818767,string28,False,2023-12-20 05:36:23.469114,6d 12h 7m 3s,option3,109.0+6.0i
81,39.78789691790191,string9,False,2024-01-14 05:36:23.469122,8d 10h 27m 57s,option3,27.0+16.0i
33,24.97568081848246,string80,False,2023-12-14 05:36:23.469129,1d 17h 24m 49s,option2,160.0+12.0i
55,25.789423072503705,string52,False,2024-01-20 05:36:23.469136,9d 12h 44m 36s,option3,3.0+56.0i
1,48.85595998503681,string88,True,2024-01-12 05:36:23.469144,8d 9h 35m 1s,option2,171.0+79.0i
39,4.95928738817098,string48,False,2023-12-26 05:36:23.469152,6d 20h 45m 25s,option3,141.0+75.0i
20,64.33080550143757,string64,False,2024-01-06 05:36:23.469160,9d 5h 0m 39s,option1,151.0+56.0i
47,41.42198792563474,string31,True,2024-02-03 05:36:23.469167,6d 6h 39m 50s,option1,181.0+68.0i
43,38.36325068629984,string14,True,2024-01-08 05:36:23.469174,1d 11h 17m 37s,option2,108.0+97.0i
57,81.12713217743064,string93,False,2024-01-19 05:36:23.469182,9d 18h 49m 9s,option2,131.0+26.0i
61,71.19451055814571,string47,True,2024-02-06 05:36:23.469189,1d 4h 32m 3s,option1,110.0+60.0i
78,95.4790477238765,string15,True,2024-02-27 05:36:23.469197,9d 22h 12m 53s,option2,7.0+14.0i
31,35.841687809073385,string47,False,2024-02-12 05:36:23.469204,5d 20h 7m 46s,option2,111.0+77.0i
25,89.85673370029114,string46,True,2023-12-23 05:36:23.469212,5d 17h 18m 18s,option3,122.0+95.0i
3,77.2267514387588,string98,True,2023-12-20 05:36:23.469220,1d 1h 10m 49s,option3,47.0+2.0i
4,36.38504050787659,string5,False,2023-12-14 05:36:23.469227,9d 4h 40m 25s,option3,56.0+80.0i
95,62.54487820887252,string11,True,2024-01-12 05:36:23.469235,2d 5h 7m 33s,option2,180.0+73.0i
99,29.568425807517862,string64,False,2024-03-17 05:36:23.469242,1d 15h 39m 48s,option3,109.0+92.0i
14,87.56559179040939,string19,False,2023-12-20 05:36:23.469249,1d 6h 8m 38s,option3,65.0+44.0i
41,12.130304404018814,string73,False,2024-01-30 05:36:23.469257,7d 23h 34m 37s,option3,37.0+60.0i
73,22.031001768110062,string59,False,2024-03-13 05:36:23.469264,4d 2h 45m 49s,option2,93.0+43.0i
20,19.120295915912195,string74,False,2024-01-13 05:36:23.469272,9d 6h 10m 19s,option3,172.0+84.0i
96,40.89957423802458,string14,False,2024-02-10 05:36:23.469280,4d 21h 15m 54s,option3,35.0+70.0i
73,74.77806304318078,string13,False,2024-01-17 05:36:23.469288,3d 15h 7m 40s,option2,99.0+35.0i
27,53.16383745616585,string30,True,2024-01-27 05:36:23.469295,4d 17h 28m 44s,option2,194.0+97.0i
67,49.27995603028255,string79,False,2024-01-22 05:36:23.469302,9d 4h 23m 35s,option3,1.0+64.0i
53,1.0540505248025698,string78,False,2023-12-24 05:36:23.469309,2d 14h 39m 20s,option2,102.0+3.0i
68,43.11477081015042,string10,True,2024-01-09 05:36:23.469316,4d 8h 48m 39s,option3,128.0+70.0i
62,7.291823708779685,string47,True,2024-03-12 05:36:23.469325,7d 11h 40m 21s,option1,58.0+77.0i
15,21.617071960026898,string61,False,2024-01-16 05:36:23.469333,0d 0h 30m 9s,option1,130.0+8.0i
97,93.30699995708895,string77,False,2023-12-30 05:36:23.469341,8d 11h 23m 28s,option2,40.0+35.0i
5,22.32442222998058,string30,True,2024-02-24 05:36:23.469349,8d 2h 20m 22s,option1,109.0+96.0i
68,85.97542622479199,string76,False,2023-12-29 05:36:23.469356,0d 7h 56m 21s,option3,79.0+57.0i
12,80.48644378457209,string25,False,2023-12-25 05:36:23.469364,4d 19h 25m 47s,option2,52.0+96.0i
87,16.75547745728204,string60,False,2024-01-01 05:36:23.469372,5d 19h 55m 42s,option2,119.0+22.0i
78,60.965483769757604,string73,False,2024-01-16 05:36:23.469380,6d 3h 57m 33s,option2,32.0+88.0i
76,12.450525318596318,string16,True,2024-02-07 05:36:23.469387,5d 2h 38m 24s,option3,49.0+50.0i
57,73.06092767858163,string55,False,2024-02-14 05:36:23.469395,1d 13h 9m 41s,option2,189.0+62.0i
17,64.10876545984846,string33,False,2024-01-20 05:36:23.469402,9d 5h 14m 29s,option3,51.0+33.0i
25,81.38191760741091,string81,True,2024-02-16 05:36:23.469411,7d 22h 4m 3s,option1,65.0+21.0i
30,48.45907038952962,string12,True,2023-12-24 05:36:23.469419,8d 7h 26m 58s,option2,126.0+44.0i
22,91.5714456955049,string16,True,2024-02-26 05:36:23.469426,9d 9h 52m 55s,option1,198.0+41.0i
26,5.885545732055531,string26,True,2024-01-19 05:36:23.469433,7d 20h 11m 6s,option3,113.0+26.0i
81,29.99596793767445,string22,True,2024-01-08 05:36:23.469441,2d 7h 57m 58s,option1,120.0+71.0i
61,71.79020714905154,string23,True,2024-01-03 05:36:23.469448,3d 12h 0m 23s,option2,19.0+88.0i
62,42.39281196305208,string82,True,2023-12-20 05:36:23.469455,5d 23h 0m 35s,option1,70.0+75.0i
84,18.12218407284448,string93,False,2024-01-02 05:36:23.469463,1d 16h 40m 18s,option2,100.0+54.0i
34,11.613863797426056,string92,True,2024-02-25 05:36:23.469470,4d 15h 10m 19s,option1,51.0+21.0i
33,81.91657203470052,string73,True,2024-01-07 05:36:23.469477,5d 13h 57m 3s,option1,65.0+46.0i
71,47.841154868098776,string92,True,2024-01-12 05:36:23.469484,4d 3h 35m 7s,option1,96.0+8.0i
86,88.34608351999164,string93,False,2024-01-25 05:36:23.469493,6d 10h 20m 28s,option1,81.0+82.0i
32,73.59562429735588,string31,True,2024-03-04 05:36:23.469500,8d 8h 17m 17s,option2,191.0+56.0i
14,41.56289435744361,string42,False,2023-12-29 05:36:23.469508,5d 16h 57m 52s,option1,81.0+21.0i
72,37.977590401412684,string10,True,2024-02-03 05:36:23.469516,6d 3h 50m 35s,option1,121.0+36.0i
57,52.04819631847392,string53,True,2023-12-23 05:36:23.469523,0d 21h 27m 32s,option1,164.0+24.0i
25,89.01693536578314,string44,False,2024-01-10 05:36:23.469531,2d 11h 18m 24s,option2,58.0+11.0i
80,73.99057939170262,string82,False,2023-12-15 05:36:23.469540,8d 0h 45m 8s,option1,150.0+85.0i
42,1.5101434626333,string51,True,2024-03-08 05:36:23.469547,7d 1h 59m 29s,option1,106.0+92.0i
19,69.72162728554343,string17,True,2024-01-23 05:36:23.469554,6d 6h 44m 50s,option2,149.0+85.0i
41,92.03123328367624,string65,True,2023-12-20 05:36:23.469562,2d 17h 19m 25s,option1,83.0+20.0i
55,71.33512019094466,string27,True,2024-01-22 05:36:23.469570,5d 14h 21m 34s,option3,75.0+72.0i
80,18.523572375182095,string8,False,2024-01-22 05:36:23.469577,1d 6h 50m 27s,option1,171.0+64.0i
12,48.86829461531841,string55,False,2024-01-21 05:36:23.469585,9d 5h 49m 4s,option3,106.0+96.0i
39,14.891285774418522,string83,True,2024-01-28 05:36:23.469592,3d 19h 33m 21s,option1,94.0+52.0i
94,36.54053255562358,string59,True,2024-02-26 05:36:23.469600,4d 19h 25m 51s,option1,116.0+32.0i
2,93.77458715211125,string76,True,2024-02-09 05:36:23.469608,7d 4h 51m 31s,option2,162.0+95.0i
96,92.40722544831212,string58,True,2024-01-24 05:36:23.469615,2d 12h 52m 57s,option3,104.0+34.0i
45,29.00084836543221,string59,False,2024-01-16 05:36:23.469623,5d 3h 30m 52s,option1,124.0+30.0i
89,34.62347337245372,string77,False,2023-12-25 05:36:23.469631,4d 9h 49m 51s,option1,137.0+36.0i
25,60.4210739449981,string14,True,2024-02-06 05:36:23.469638,1d 11h 34m 43s,option1,135.0+73.0i
68,96.35653223077762,string73,True,2024-01-10 05:36:23.469646,8d 11h 33m 58s,option1,110.0+35.0i
83,15.632332072473652,string19,True,2024-02-09 05:36:23.469653,6d 17h 33m 33s,option1,191.0+59.0i
4,26.43474772498024,string18,True,2024-03-14 05:36:23.469661,4d 20h 59m 7s,option3,51.0+25.0i
77,87.48212590178638,string43,False,2023-12-24 05:36:23.469668,0d 12h 49m 7s,option2,62.0+26.0i
36,49.697330939126104,string45,False,2024-02-08 05:36:23.469676,7d 6h 2m 59s,option2,74.0+53.0i
87,89.99714813047613,string99,True,2023-12-14 05:36:23.469683,9d 18h 26m 12s,option3,159.0+44.0i
62,19.36627185479445,string76,True,2024-02-13 05:36:23.469691,2d 7h 49m 29s,option2,156.0+8.0i
70,53.734190159664706,string88,False,2023-12-19 05:36:23.469699,6d 23h 6m 2s,option2,154.0+81.0i
88,33.30069363228787,string71,True,2024-02-05 05:36:23.469707,1d 13h 56m 51s,option3,181.0+53.0i
44,32.33771342935513,string79,True,2024-02-24 05:36:23.469715,0d 8h 41m 39s,option2,109.0+67.0i
33,45.24081943067372,string47,False,2024-01-11 05:36:23.469723,9d 18h 19m 28s,option1,183.0+31.0i
12,43.874667461025574,string55,True,2024-01-20 05:36:23.469730,1d 19h 30m 21s,option2,5.0+73.0i
85,36.37734108811749,string51,True,2024-02-19 05:36:23.469737,4d 11h 35m 34s,option2,113.0+21.0i
11,91.58210626124624,string44,False,2024-01-19 05:36:23.469745,6d 0h 57m 24s,option1,176.0+98.0i
55,73.44267435785639,string66,False,2024-02-18 05:36:23.469752,0d 8h 58m 4s,option3,190.0+71.0i
38,73.02715214182143,string79,True,2024-01-17 05:36:23.469759,3d 22h 56m 52s,option1,30.0+71.0i
29,29.701431509603587,string7,True,2024-01-30 05:36:23.469767,2d 20h 37m 39s,option3,165.0+91.0i
3,58.1932330073672,string48,True,2024-02-13 05:36:23.469775,2d 19h 33m 25s,option1,34.0+85.0i
28,78.13876389688157,string45,True,2024-02-21 05:36:23.469783,6d 10h 49m 6s,option3,57.0+12.0i
84,79.76344648577809,string10,True,2024-01-03 05:36:23.469791,5d 0h 39m 23s,option1,16.0+22.0i
90,35.10851561467691,string4,True,2024-01-05 05:36:23.469799,5d 10h 9m 1s,option1,92.0+44.0i
24,77.31640290029614,string10,False,2023-12-27 05:36:23.469806,0d 3h 25m 40s,option1,83.0+11.0i
54,73.85349578396557,string35,True,2023-12-19 05:36:23.469815,3d 2h 27m 49s,option3,13.0+49.0i
52,15.009142076568127,string95,True,2024-03-10 05:36:23.469822,1d 8h 38m 33s,option3,119.0+3.0i
47,86.72860138808124,string2,False,2024-01-26 05:36:23.469829,0d 13h 13m 14s,option3,135.0+98.0i
21,44.69082554786067,string39,True,2024-02-17 05:36:23.469836,0d 3h 24m 45s,option2,118.0+95.0i
54,49.15463443997788,string79,True,2024-02-07 05:36:23.469843,6d 18h 56m 33s,option2,190.0+64.0i
30,45.38854871090174,string81,False,2024-02-05 05:36:23.469852,8d 14h 18m 41s,option1,155.0+43.0i
68,57.216754146273246,string95,True,2024-02-26 05:36:23.469859,7d 12h 9m 48s,option1,132.0+85.0i
36,62.495755489338414,string51,True,2024-02-13 05:36:23.469867,1d 17h 33m 50s,option1,88.0+76.0i
40,50.319777010531396,string14,True,2024-03-07 05:36:23.469874,8d 15h 46m 39s,option1,5.0+54.0i
10,86.81206578265046,string87,False,2024-01-01 05:36:23.469883,6d 17h 8m 47s,option1,172.0+71.0i
74,63.14574086333316,string47,False,2024-01-30 05:36:23.469890,1d 7h 20m 40s,option2,75.0+89.0i
42,40.74136698124647,string88,True,2024-03-15 05:36:23.469898,8d 20h 0m 55s,option1,187.0+86.0i
24,42.25248393396239,string38,False,2023-12-12 05:36:23.469905,9d 2h 32m 22s,option2,167.0+75.0i
4,81.27302289776618,string94,True,2023-12-20 05:36:23.469912,8d 21h 55m 57s,option2,38.0+76.0i
47,35.47100233190549,string91,False,2024-01-24 05:36:23.469920,3d 5h 27m 26s,option1,20.0+48.0i
